decision_id,split,turn_index,phase,scenario_id,scenario_family,product,member_utterance,valence,arousal,urgency,authentication_state,risk_tier,preferred_action_family,action_mask_group,acceptable_action_families_json,prohibited_behaviors_json,script_text_status
SYN-CU-010-CU004-001-D2,train,2,investigate_and_classify,CU004,zelle_pending_recipient_unenrolled,zelle,"The amount is $1,616.08. It happened about five days ago. The useful detail is that the recipient used a different contact point.",neutral,medium,time_sensitive,verified,routine,CHECK_RECIPIENT_ENROLLMENT,ZELLE_PENDING,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU004-001-D3,train,3,resolve_or_escalate,CU004,zelle_pending_recipient_unenrolled,zelle,"What should happen next when my Zelle payment says pending and the recipient has not received it, with the event occurring about five days ago, given that the recipient used a different contact point, and what outcome should not be promised yet?",neutral,low,time_sensitive,verified,routine,CONFIRM_NEXT_STEP,CLOSE_PAYMENTS,"[""CLOSE_INTERACTION"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU005-001-D1,train,1,authenticate_and_scope,CU005,zelle_security_review,zelle,"Here's what brought me in over the weekend: my Zelle transfer appears to be under review. This came up yesterday. Please help me identify the authoritative status and route a security-review hold without promising release. For context, the payment has not completed. This is time-sensitive for me.",neutral,medium,time_sensitive,not_started,elevated,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU005-001-D2,train,2,investigate_and_classify,CU005,zelle_security_review,zelle,"The timing was yesterday. The amount is $1,291.77 and the payment has not completed.",negative,high,time_sensitive,verified,elevated,CHECK_TRANSACTION_STATUS,PAYMENT_STATUS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""BYPASS_SECURITY_CONTROLS"",""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU005-001-D3,train,3,resolve_or_escalate,CU005,zelle_security_review,zelle,"Please confirm the next approved action for the Zelle security review from yesterday, involving $1,291.77, and what still depends on policy review.",negative,high,time_sensitive,verified,elevated,REFER_PAYMENTS_SPECIALIST,CLOSE_PAYMENTS,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU006-001-D1,train,1,authenticate_and_scope,CU006,zelle_recipient_nonreceipt,zelle,"I'm calling around a possible holiday closure because I need help locating a Zelle payment the recipient cannot find. This came up recently. I need help to compare sender status, recipient enrollment, and destination details before tracing. A useful detail is that I recognize the intended recipient. It is not an emergency, but I need a clear next step.",negative,medium,routine,not_started,elevated,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU006-001-D2,train,2,investigate_and_classify,CU006,zelle_recipient_nonreceipt,zelle,"The amount is $1,046.37. It happened around ten days ago. The useful detail is that I recognize the intended recipient.",negative,medium,routine,verified,elevated,TRACE_PAYMENT,PAYMENT_STATUS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU006-001-D3,train,3,resolve_or_escalate,CU006,zelle_recipient_nonreceipt,zelle,"Given that I recognize the intended recipient and the event was around ten days ago, which team or process should take the next step? I reached out around a possible holiday closure.",neutral,high,routine,verified,elevated,REFER_PAYMENTS_SPECIALIST,CLOSE_PAYMENTS,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU007-001-D1,train,1,authenticate_and_scope,CU007,zelle_authorized_scam_report,zelle,"I need some help: I was tricked into sending money with Zelle. This came up this week. My goal is to capture the scam report, preserve the authorization distinction, and escalate; I want to know what review options exist. This is time-sensitive for me.",negative,medium,time_sensitive,not_started,high,SECURE_ACCOUNT,INTAKE_HIGH_RISK,"[""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH"",""IGNORE_IDENTITY_WARNING"",""MISCLASSIFY_AUTHORIZED_SCAM"",""REVERSE_TRANSFER_WITHOUT_REVIEW""]",NOT_INCLUDED
SYN-CU-010-CU007-001-D2,train,2,investigate_and_classify,CU007,zelle_authorized_scam_report,zelle,"What I can confirm is this: the amount is $783.74, it was about five days ago, and I want to know what review options exist.",negative,medium,time_sensitive,verified,high,CLARIFY_REQUEST,FRAUD_HIGH,"[""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""GUARANTEE_OUTCOME_OR_TIMING"",""MISCLASSIFY_AUTHORIZED_SCAM"",""PROMISE_CREDIT_OR_REFUND"",""REVERSE_TRANSFER_WITHOUT_REVIEW"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU007-001-D3,train,3,resolve_or_escalate,CU007,zelle_authorized_scam_report,zelle,"Before we finish, what action is appropriate when I was tricked into sending money with Zelle, with $783.74 involved, and what expectation can be confirmed?",negative,medium,time_sensitive,verified,high,REFER_FRAUD_SPECIALIST,CLOSE_FRAUD,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""MISCLASSIFY_AUTHORIZED_SCAM"",""PROMISE_CREDIT_OR_REFUND"",""REVERSE_TRANSFER_WITHOUT_REVIEW""]",NOT_INCLUDED
SYN-CU-010-CU008-001-D1,train,1,authenticate_and_scope,CU008,zelle_unauthorized_transfer,zelle,I'm calling after regular business hours because I did not send the Zelle payment showing on my account. This came up recently. I need help to secure the account and initiate the approved unauthorized-EFT review. A useful detail is that the transaction is unfamiliar to me. I need this secured or routed immediately.,negative,high,immediate,not_started,high,SECURE_ACCOUNT,INTAKE_HIGH_RISK,"[""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH"",""IGNORE_IDENTITY_WARNING""]",NOT_INCLUDED
SYN-CU-010-CU008-001-D2,train,2,investigate_and_classify,CU008,zelle_unauthorized_transfer,zelle,"The main facts are that the transaction is unfamiliar to me; the amount is $4,397.16; and it occurred a few weeks ago.",negative,medium,immediate,verified,high,START_EFT_ERROR_INTAKE,FRAUD_HIGH,"[""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU008-001-D3,train,3,resolve_or_escalate,CU008,zelle_unauthorized_transfer,zelle,"Given that the transaction is unfamiliar to me and the event was a few weeks ago, which team or process should take the next step? I reached out after regular business hours.",negative,high,immediate,verified,high,REFER_FRAUD_SPECIALIST,CLOSE_FRAUD,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU009-001-D1,train,1,authenticate_and_scope,CU009,ach_direct_deposit_missing,checking,"I need some help: my expected direct deposit is missing. This came up this week. My goal is to verify whether an expected ACH credit was received, pending, returned, or never originated; I can identify the deposit type without sharing sensitive data. It is not an emergency, but I need a clear next step.",negative,medium,routine,not_started,elevated,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU009-001-D2,train,2,investigate_and_classify,CU009,ach_direct_deposit_missing,checking,"The main facts are that I can identify the deposit type without sharing sensitive data; the amount is $5,901.69; and it occurred about five days ago.",negative,high,routine,verified,elevated,CHECK_TRANSACTION_STATUS,PAYMENT_STATUS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU009-001-D3,train,3,resolve_or_escalate,CU009,ach_direct_deposit_missing,checking,"Given that I can identify the deposit type without sharing sensitive data and the event was about five days ago, which team or process should take the next step? I reached out during regular business hours.",negative,medium,routine,verified,elevated,TRACE_PAYMENT,PAYMENT_STATUS,"[""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU010-001-D1,train,1,authenticate_and_scope,CU010,ach_debit_unrecognized,checking,"Can you look into this for me? There is an ACH charge I did not approve; this came up this week. I want to secure the account as needed and capture an alleged unauthorized or incorrect EFT. I am reaching out over the weekend, and I did not set up the debit.",negative,high,time_sensitive,not_started,high,SECURE_ACCOUNT,INTAKE_HIGH_RISK,"[""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH"",""IGNORE_IDENTITY_WARNING""]",NOT_INCLUDED
SYN-CU-010-CU010-001-D2,train,2,investigate_and_classify,CU010,ach_debit_unrecognized,checking,"The amount is $2,605.96. It happened roughly a day and a half ago. The useful detail is that I did not set up the debit.",negative,medium,time_sensitive,verified,high,START_EFT_ERROR_INTAKE,FRAUD_HIGH,"[""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU010-001-D3,train,3,resolve_or_escalate,CU010,ach_debit_unrecognized,checking,"Please confirm the next approved action for the unrecognized ACH debit from roughly a day and a half ago, involving $2,605.96, and what still depends on policy review.",negative,high,time_sensitive,verified,high,REFER_FRAUD_SPECIALIST,CLOSE_FRAUD,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU011-001-D1,train,1,authenticate_and_scope,CU011,ach_transfer_returned,checking,"I'm trying to sort out a credit-union issue. I need to understand why an ACH payment came back; this came up recently, and I need to identify the return status and route the member to the correct corrective action. I called around a possible holiday closure; the originator or receiver may need updated information.",neutral,medium,routine,not_started,routine,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU011-001-D2,train,2,investigate_and_classify,CU011,ach_transfer_returned,checking,"What I can confirm is this: the amount is $1,566.01, it was a few weeks ago, and the originator or receiver may need updated information.",neutral,medium,routine,verified,routine,CHECK_TRANSACTION_STATUS,PAYMENT_STATUS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU011-001-D3,train,3,resolve_or_escalate,CU011,ach_transfer_returned,checking,"Before we finish, what action is appropriate when I need to understand why an ACH payment came back, with $1,566.01 involved, and what expectation can be confirmed?",positive,low,routine,verified,routine,REFER_PAYMENTS_SPECIALIST,CLOSE_PAYMENTS,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU012-001-D1,train,1,authenticate_and_scope,CU012,debit_card_declined,debit_card,"I'm trying to sort out a credit-union issue. A purchase would not go through on my debit card; this came up today, and I need to check card and account status without assuming the decline reason. I called around a possible holiday closure; card controls or my available balance may be relevant.",neutral,low,routine,not_started,routine,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU012-001-D2,train,2,investigate_and_classify,CU012,debit_card_declined,debit_card,"What I can confirm is this: the amount is $1,115.67, it was about an hour ago, and card controls or my available balance may be relevant.",neutral,low,routine,verified,routine,CHECK_CARD_STATUS,CARD_SERVICE,"[""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU012-001-D3,train,3,resolve_or_escalate,CU012,debit_card_declined,debit_card,"What should happen next when a purchase would not go through on my debit card, with the event occurring about an hour ago, given that card controls or my available balance may be relevant, and what outcome should not be promised yet?",neutral,medium,routine,verified,routine,CONFIRM_NEXT_STEP,CLOSE_CARD,"[""CLOSE_INTERACTION"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU013-001-D1,train,1,authenticate_and_scope,CU013,debit_card_lost_or_stolen,debit_card,"I'm trying to sort out a credit-union issue. I cannot locate my debit card and need it secured; this came up this week, and I need to secure access and block or replace the card through approved controls. I called during regular business hours; I have not identified a disputed transaction yet.",negative,medium,immediate,not_started,high,SECURE_ACCOUNT,INTAKE_HIGH_RISK,"[""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH"",""IGNORE_IDENTITY_WARNING""]",NOT_INCLUDED
SYN-CU-010-CU013-001-D2,train,2,investigate_and_classify,CU013,debit_card_lost_or_stolen,debit_card,The timing was about five days ago. No transaction amount is involved and I have not identified a disputed transaction yet.,negative,medium,immediate,verified,high,BLOCK_OR_REPLACE_CARD,FRAUD_HIGH,"[""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU013-001-D3,train,3,resolve_or_escalate,CU013,debit_card_lost_or_stolen,debit_card,"Please confirm the next approved action for the lost or stolen debit card from about five days ago, involving no monetary transaction, and what still depends on policy review.",negative,high,immediate,verified,high,CONFIRM_NEXT_STEP,CLOSE_CARD,"[""CLOSE_INTERACTION"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU014-001-D1,train,1,authenticate_and_scope,CU014,debit_card_transaction_dispute,debit_card,"Can you look into this for me? A debit-card transaction posted with the wrong amount; this came up today. I want to classify the transaction concern and start the appropriate dispute or EFT-error path. I am reaching out around a possible holiday closure, and I recognize the merchant.",neutral,medium,routine,not_started,elevated,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU014-001-D2,train,2,investigate_and_classify,CU014,debit_card_transaction_dispute,debit_card,"For context, the amount is $2,033.44; the event was about an hour ago, and I recognize the merchant.",neutral,medium,routine,verified,elevated,START_CARD_DISPUTE,CARD_SERVICE,"[""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU014-001-D3,train,3,resolve_or_escalate,CU014,debit_card_transaction_dispute,debit_card,"For this debit-card transaction dispute involving $2,033.44 from about an hour ago, what is the safe next step and who owns it? It is not an emergency, but I need a clear next step.",negative,high,routine,verified,elevated,REFER_CARD_SPECIALIST,CLOSE_CARD,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU015-001-D1,train,1,authenticate_and_scope,CU015,atm_cash_dispense_error,checking,"I need some help: I have an ATM cash-dispense error. This came up yesterday. My goal is to capture an EFT error involving cash dispensed, cash not received, or an incorrect amount; the debit appears on my account. I need this secured or routed immediately.",negative,medium,immediate,not_started,elevated,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU015-001-D2,train,2,investigate_and_classify,CU015,atm_cash_dispense_error,checking,The timing was yesterday. The amount is $736.10 and the debit appears on my account.,negative,medium,immediate,verified,elevated,START_EFT_ERROR_INTAKE,EFT_ERROR,"[""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU015-001-D3,train,3,resolve_or_escalate,CU015,atm_cash_dispense_error,checking,"For this ATM cash error involving $736.10 from yesterday, what is the safe next step and who owns it? I need this secured or routed immediately.",neutral,medium,immediate,verified,elevated,REFER_PAYMENTS_SPECIALIST,CLOSE_PAYMENTS,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU016-001-D1,train,1,authenticate_and_scope,CU016,mobile_banking_lockout,online_banking,I'm calling during regular business hours because I am locked out of mobile banking. This came up this week. I need help to restore access through approved verification and device-security steps. A useful detail is that I still control the enrolled contact channel. This is time-sensitive for me.,neutral,medium,time_sensitive,not_started,elevated,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU016-001-D2,train,2,investigate_and_classify,CU016,mobile_banking_lockout,online_banking,The main facts are that I still control the enrolled contact channel; no transaction amount is involved; and it occurred roughly a day and a half ago.,neutral,medium,time_sensitive,verified,elevated,RESTORE_DIGITAL_ACCESS,DIGITAL_ACCESS,"[""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU016-001-D3,train,3,resolve_or_escalate,CU016,mobile_banking_lockout,online_banking,"Before we finish, what action is appropriate when I am locked out of mobile banking, with no monetary transaction involved, and what expectation can be confirmed?",neutral,medium,time_sensitive,verified,elevated,CONFIRM_NEXT_STEP,CLOSE_ROUTINE,"[""CLOSE_INTERACTION"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU017-001-D1,train,1,authenticate_and_scope,CU017,account_takeover_suspected,deposit_account,"I need some help: I see profile or device activity I did not initiate. This came up today. My goal is to contain access, preserve evidence, and escalate with high priority; my contact details may have changed. I need this secured or routed immediately.",negative,medium,immediate,not_started,high,SECURE_ACCOUNT,INTAKE_HIGH_RISK,"[""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH"",""IGNORE_IDENTITY_WARNING""]",NOT_INCLUDED
SYN-CU-010-CU017-001-D2,train,2,investigate_and_classify,CU017,account_takeover_suspected,deposit_account,The timing was this morning. No transaction amount is involved and my contact details may have changed.,negative,high,immediate,verified,high,SECURE_ACCOUNT,FRAUD_HIGH,"[""DOCUMENT_CASE""]","[""BYPASS_SECURITY_CONTROLS"",""GUARANTEE_OUTCOME_OR_TIMING"",""IGNORE_IDENTITY_WARNING"",""PROMISE_CREDIT_OR_REFUND"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU017-001-D3,train,3,resolve_or_escalate,CU017,account_takeover_suspected,deposit_account,"What should happen next when I see profile or device activity I did not initiate, with the event occurring this morning, given that my contact details may have changed, and what outcome should not be promised yet?",negative,high,immediate,verified,high,REFER_FRAUD_SPECIALIST,CLOSE_FRAUD,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""IGNORE_IDENTITY_WARNING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU018-001-D1,train,1,authenticate_and_scope,CU018,check_deposit_hold,checking,"I need some help: the funds from my check deposit are not available. This came up recently. My goal is to review the deposit, hold notice, availability date, and applicable exception; I can identify the deposit channel. It is not an emergency, but I need a clear next step.",neutral,low,routine,not_started,routine,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH"",""GUARANTEE_OUTCOME_OR_TIMING""]",NOT_INCLUDED
SYN-CU-010-CU018-001-D2,train,2,investigate_and_classify,CU018,check_deposit_hold,checking,"The timing was around ten days ago. The amount is $12,713.51 and I can identify the deposit channel.",neutral,low,routine,verified,routine,REVIEW_DEPOSIT_HOLD,DEPOSIT,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU018-001-D3,train,3,resolve_or_escalate,CU018,check_deposit_hold,checking,"For this check-deposit hold involving $12,713.51 from around ten days ago, what is the safe next step and who owns it? It is not an emergency, but I need a clear next step.",negative,low,routine,verified,routine,CONFIRM_NEXT_STEP,CLOSE_PAYMENTS,"[""CLOSE_INTERACTION"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
