dataset_version,decision_id,call_id,split,turn_index,phase,scenario_id,scenario_family,category,product,intent,member_utterance,utterance_hash,template_family_id,valence,arousal,urgency,authentication_state,risk_tier,authorization_claim,status_claim,amount_usd,event_age_hours,business_day_context,regulatory_flags_json,case_facts_json,action_mask_group,candidate_actions_json,preferred_action_family,acceptable_action_families_json,prohibited_behaviors_json,candidate_rewards_json,reward_preferred,reward_acceptable,reward_wrong,reward_prohibited,script_text_status
0.1.0,SYN-CU-010-CU001-004-D2,SYN-CU-010-CU001-004,train,2,investigate_and_classify,CU001,card_balance_transfer_request,cards,credit_card,card_balance_transfer_request,"What I can confirm is this: the amount is $699.03, it was yesterday, and the requested amount may be close to my available credit.",32eddd4b4f621881,train_stage1_template4,positive,low,routine,verified,routine,authorized,not_submitted,699.03,20,weekday_business_hours,"[""reg_z_terms_review""]","{""amount_usd"":699.03,""event_age_hours"":20,""business_day_context"":""weekday_business_hours"",""status_claim"":""not_submitted"",""authorization_claim"":""authorized"",""policy_dependency"":""card_agreement_and_offer_terms"",""member_supplied_detail"":""the requested amount may be close to my available credit""}",CARD_TERMS,"[""REVIEW_CARD_TERMS"",""EXPLAIN_GENERAL_PROCESS"",""REFER_CARD_SPECIALIST"",""DOCUMENT_CASE""]",REVIEW_CARD_TERMS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]","{""DOCUMENT_CASE"":0.25,""EXPLAIN_GENERAL_PROCESS"":0.25,""REFER_CARD_SPECIALIST"":-1.0,""REVIEW_CARD_TERMS"":1.0}",1.00,0.25,-1.00,-3.00,NOT_INCLUDED
0.1.0,SYN-CU-010-CU001-004-D3,SYN-CU-010-CU001-004,train,3,resolve_or_escalate,CU001,card_balance_transfer_request,cards,credit_card,card_balance_transfer_request,"For this balance-transfer request involving $699.03 from yesterday, what is the safe next step and who owns it? It is not an emergency, but I need a clear next step.",58ad2ff33d64876d,train_stage2_template1,neutral,low,routine,verified,routine,authorized,not_submitted,699.03,20,weekday_business_hours,"[""reg_z_terms_review""]","{""amount_usd"":699.03,""event_age_hours"":20,""business_day_context"":""weekday_business_hours"",""status_claim"":""not_submitted"",""authorization_claim"":""authorized"",""policy_dependency"":""card_agreement_and_offer_terms"",""member_supplied_detail"":""the requested amount may be close to my available credit""}",CLOSE_CARD,"[""DOCUMENT_CASE"",""CONFIRM_NEXT_STEP"",""REFER_CARD_SPECIALIST"",""CLOSE_INTERACTION""]",REFER_CARD_SPECIALIST,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]","{""CLOSE_INTERACTION"":-1.0,""CONFIRM_NEXT_STEP"":0.25,""DOCUMENT_CASE"":0.25,""REFER_CARD_SPECIALIST"":1.0}",1.00,0.25,-1.00,-3.00,NOT_INCLUDED
0.1.0,SYN-CU-010-CU001-005-D1,SYN-CU-010-CU001-005,train,1,authenticate_and_scope,CU001,card_balance_transfer_request,cards,credit_card,card_balance_transfer_request,"I'm trying to sort out a credit-union issue. I am trying to consolidate an outside card balance; this came up today, and I need to determine whether a balance transfer can be requested and what facts are needed. I called during regular business hours; my outside account is open.",e9316c7839d60f66,train_stage0_template5,neutral,low,time_sensitive,not_started,routine,authorized,not_submitted,4498.30,3,weekday_business_hours,"[""reg_z_terms_review""]","{""amount_usd"":4498.3,""event_age_hours"":3,""business_day_context"":""weekday_business_hours"",""status_claim"":""not_submitted"",""authorization_claim"":""authorized"",""policy_dependency"":""card_agreement_and_offer_terms"",""member_supplied_detail"":""my outside account is open""}",INTAKE_ROUTINE,"[""VERIFY_IDENTITY"",""CLARIFY_REQUEST"",""DOCUMENT_CASE""]",VERIFY_IDENTITY,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]","{""CLARIFY_REQUEST"":0.25,""DOCUMENT_CASE"":0.25,""VERIFY_IDENTITY"":1.0}",1.00,0.25,-1.00,-3.00,NOT_INCLUDED
0.1.0,SYN-CU-010-CU001-005-D2,SYN-CU-010-CU001-005,train,2,investigate_and_classify,CU001,card_balance_transfer_request,cards,credit_card,card_balance_transfer_request,"The main facts are that my outside account is open; the amount is $4,498.30; and it occurred earlier today.",9b4a7fed392bbaed,train_stage1_template5,negative,low,time_sensitive,verified,routine,authorized,not_submitted,4498.30,3,weekday_business_hours,"[""reg_z_terms_review""]","{""amount_usd"":4498.3,""event_age_hours"":3,""business_day_context"":""weekday_business_hours"",""status_claim"":""not_submitted"",""authorization_claim"":""authorized"",""policy_dependency"":""card_agreement_and_offer_terms"",""member_supplied_detail"":""my outside account is open""}",CARD_TERMS,"[""REVIEW_CARD_TERMS"",""EXPLAIN_GENERAL_PROCESS"",""REFER_CARD_SPECIALIST"",""DOCUMENT_CASE""]",REVIEW_CARD_TERMS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]","{""DOCUMENT_CASE"":0.25,""EXPLAIN_GENERAL_PROCESS"":0.25,""REFER_CARD_SPECIALIST"":-1.0,""REVIEW_CARD_TERMS"":1.0}",1.00,0.25,-1.00,-3.00,NOT_INCLUDED
0.1.0,SYN-CU-010-CU001-005-D3,SYN-CU-010-CU001-005,train,3,resolve_or_escalate,CU001,card_balance_transfer_request,cards,credit_card,card_balance_transfer_request,"For this balance-transfer request involving $4,498.30 from earlier today, what is the safe next step and who owns it? This is time-sensitive for me.",2df441ab9e727d90,train_stage2_template1,negative,medium,time_sensitive,verified,routine,authorized,not_submitted,4498.30,3,weekday_business_hours,"[""reg_z_terms_review""]","{""amount_usd"":4498.3,""event_age_hours"":3,""business_day_context"":""weekday_business_hours"",""status_claim"":""not_submitted"",""authorization_claim"":""authorized"",""policy_dependency"":""card_agreement_and_offer_terms"",""member_supplied_detail"":""my outside account is open""}",CLOSE_CARD,"[""DOCUMENT_CASE"",""CONFIRM_NEXT_STEP"",""REFER_CARD_SPECIALIST"",""CLOSE_INTERACTION""]",REFER_CARD_SPECIALIST,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]","{""CLOSE_INTERACTION"":-1.0,""CONFIRM_NEXT_STEP"":0.25,""DOCUMENT_CASE"":0.25,""REFER_CARD_SPECIALIST"":1.0}",1.00,0.25,-1.00,-3.00,NOT_INCLUDED
0.1.0,SYN-CU-010-CU001-006-D1,SYN-CU-010-CU001-006,train,1,authenticate_and_scope,CU001,card_balance_transfer_request,cards,credit_card,card_balance_transfer_request,"Here's what brought me in over the weekend: I want to move a balance from another card. This came up recently. Please help me determine whether a balance transfer can be requested and what facts are needed. For context, I have not submitted the request yet. It is not an emergency, but I need a clear next step.",99a4ebb309a75874,train_stage0_template4,neutral,medium,routine,not_started,routine,authorized,not_submitted,2206.94,480,weekend,"[""reg_z_terms_review""]","{""amount_usd"":2206.94,""event_age_hours"":480,""business_day_context"":""weekend"",""status_claim"":""not_submitted"",""authorization_claim"":""authorized"",""policy_dependency"":""card_agreement_and_offer_terms"",""member_supplied_detail"":""I have not submitted the request yet""}",INTAKE_ROUTINE,"[""VERIFY_IDENTITY"",""CLARIFY_REQUEST"",""DOCUMENT_CASE""]",VERIFY_IDENTITY,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]","{""CLARIFY_REQUEST"":0.25,""DOCUMENT_CASE"":0.25,""VERIFY_IDENTITY"":1.0}",1.00,0.25,-1.00,-3.00,NOT_INCLUDED
0.1.0,SYN-CU-010-CU001-006-D2,SYN-CU-010-CU001-006,train,2,investigate_and_classify,CU001,card_balance_transfer_request,cards,credit_card,card_balance_transfer_request,"What I can confirm is this: the amount is $2,206.94, it was a few weeks ago, and I have not submitted the request yet.",f94b0a5139285484,train_stage1_template4,positive,low,routine,verified,routine,authorized,not_submitted,2206.94,480,weekend,"[""reg_z_terms_review""]","{""amount_usd"":2206.94,""event_age_hours"":480,""business_day_context"":""weekend"",""status_claim"":""not_submitted"",""authorization_claim"":""authorized"",""policy_dependency"":""card_agreement_and_offer_terms"",""member_supplied_detail"":""I have not submitted the request yet""}",CARD_TERMS,"[""REVIEW_CARD_TERMS"",""EXPLAIN_GENERAL_PROCESS"",""REFER_CARD_SPECIALIST"",""DOCUMENT_CASE""]",REVIEW_CARD_TERMS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]","{""DOCUMENT_CASE"":0.25,""EXPLAIN_GENERAL_PROCESS"":0.25,""REFER_CARD_SPECIALIST"":-1.0,""REVIEW_CARD_TERMS"":1.0}",1.00,0.25,-1.00,-3.00,NOT_INCLUDED
0.1.0,SYN-CU-010-CU001-006-D3,SYN-CU-010-CU001-006,train,3,resolve_or_escalate,CU001,card_balance_transfer_request,cards,credit_card,card_balance_transfer_request,"Please confirm the next approved action for the balance-transfer request from a few weeks ago, involving $2,206.94, and what still depends on policy review.",131d1712e4975b61,train_stage2_template3,neutral,medium,routine,verified,routine,authorized,not_submitted,2206.94,480,weekend,"[""reg_z_terms_review""]","{""amount_usd"":2206.94,""event_age_hours"":480,""business_day_context"":""weekend"",""status_claim"":""not_submitted"",""authorization_claim"":""authorized"",""policy_dependency"":""card_agreement_and_offer_terms"",""member_supplied_detail"":""I have not submitted the request yet""}",CLOSE_CARD,"[""DOCUMENT_CASE"",""CONFIRM_NEXT_STEP"",""REFER_CARD_SPECIALIST"",""CLOSE_INTERACTION""]",REFER_CARD_SPECIALIST,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]","{""CLOSE_INTERACTION"":-1.0,""CONFIRM_NEXT_STEP"":0.25,""DOCUMENT_CASE"":0.25,""REFER_CARD_SPECIALIST"":1.0}",1.00,0.25,-1.00,-3.00,NOT_INCLUDED
0.1.0,SYN-CU-010-CU001-007-D1,SYN-CU-010-CU001-007,train,1,authenticate_and_scope,CU001,card_balance_transfer_request,cards,credit_card,card_balance_transfer_request,"Here's what brought me in around a possible holiday closure: I would like to request a balance transfer. This came up today. Please help me determine whether a balance transfer can be requested and what facts are needed. For context, the requested amount may be close to my available credit. It is not an emergency, but I need a clear next step.",80532a5f6196e80b,train_stage0_template4,positive,low,routine,not_started,routine,authorized,not_submitted,3114.73,1,holiday_status_unknown,"[""reg_z_terms_review""]","{""amount_usd"":3114.73,""event_age_hours"":1,""business_day_context"":""holiday_status_unknown"",""status_claim"":""not_submitted"",""authorization_claim"":""authorized"",""policy_dependency"":""card_agreement_and_offer_terms"",""member_supplied_detail"":""the requested amount may be close to my available credit""}",INTAKE_ROUTINE,"[""VERIFY_IDENTITY"",""CLARIFY_REQUEST"",""DOCUMENT_CASE""]",VERIFY_IDENTITY,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]","{""CLARIFY_REQUEST"":0.25,""DOCUMENT_CASE"":0.25,""VERIFY_IDENTITY"":1.0}",1.00,0.25,-1.00,-3.00,NOT_INCLUDED
0.1.0,SYN-CU-010-CU001-007-D2,SYN-CU-010-CU001-007,train,2,investigate_and_classify,CU001,card_balance_transfer_request,cards,credit_card,card_balance_transfer_request,"For context, the amount is $3,114.73; the event was about an hour ago, and the requested amount may be close to my available credit.",3f97bd2f4bb386e5,train_stage1_template2,negative,medium,routine,verified,routine,authorized,not_submitted,3114.73,1,holiday_status_unknown,"[""reg_z_terms_review""]","{""amount_usd"":3114.73,""event_age_hours"":1,""business_day_context"":""holiday_status_unknown"",""status_claim"":""not_submitted"",""authorization_claim"":""authorized"",""policy_dependency"":""card_agreement_and_offer_terms"",""member_supplied_detail"":""the requested amount may be close to my available credit""}",CARD_TERMS,"[""REVIEW_CARD_TERMS"",""EXPLAIN_GENERAL_PROCESS"",""REFER_CARD_SPECIALIST"",""DOCUMENT_CASE""]",REVIEW_CARD_TERMS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]","{""DOCUMENT_CASE"":0.25,""EXPLAIN_GENERAL_PROCESS"":0.25,""REFER_CARD_SPECIALIST"":-1.0,""REVIEW_CARD_TERMS"":1.0}",1.00,0.25,-1.00,-3.00,NOT_INCLUDED
0.1.0,SYN-CU-010-CU001-007-D3,SYN-CU-010-CU001-007,train,3,resolve_or_escalate,CU001,card_balance_transfer_request,cards,credit_card,card_balance_transfer_request,"Given that the requested amount may be close to my available credit and the event was about an hour ago, which team or process should take the next step? I reached out around a possible holiday closure.",00fb80688f07f22c,train_stage2_template4,negative,low,routine,verified,routine,authorized,not_submitted,3114.73,1,holiday_status_unknown,"[""reg_z_terms_review""]","{""amount_usd"":3114.73,""event_age_hours"":1,""business_day_context"":""holiday_status_unknown"",""status_claim"":""not_submitted"",""authorization_claim"":""authorized"",""policy_dependency"":""card_agreement_and_offer_terms"",""member_supplied_detail"":""the requested amount may be close to my available credit""}",CLOSE_CARD,"[""DOCUMENT_CASE"",""CONFIRM_NEXT_STEP"",""REFER_CARD_SPECIALIST"",""CLOSE_INTERACTION""]",REFER_CARD_SPECIALIST,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]","{""CLOSE_INTERACTION"":-1.0,""CONFIRM_NEXT_STEP"":0.25,""DOCUMENT_CASE"":0.25,""REFER_CARD_SPECIALIST"":1.0}",1.00,0.25,-1.00,-3.00,NOT_INCLUDED
