scenario_id,scenario_family,category,product,member_goal,case_summary,risk_tier,regulatory_flags,policy_dependency,source_keys,intake_action,investigate_action,resolve_action,script_status
CU011,ach_transfer_returned,ach,checking,identify the return status and route the member to the correct corrective action,Member's ACH transfer was returned or reversed.,routine,reg_e_information_request_possible,ach_return_code_and_account_policy,ACH_BASICS|REG_E_ERROR,VERIFY_IDENTITY,CHECK_TRANSACTION_STATUS,REFER_PAYMENTS_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU012,debit_card_declined,cards,debit_card,check card and account status without assuming the decline reason,Member's debit card was declined at a merchant or ATM.,routine,,card_controls_network_and_account_status,REG_E_ERROR,VERIFY_IDENTITY,CHECK_CARD_STATUS,CONFIRM_NEXT_STEP,DEFERRED_TO_NEXT_PHASE
CU013,debit_card_lost_or_stolen,cards,debit_card,secure access and block or replace the card through approved controls,Member reports a lost or stolen debit card.,high,reg_e_review_if_unauthorized_use,card_security_and_replacement_policy,REG_E_ERROR|REG_E_LIABILITY,SECURE_ACCOUNT,BLOCK_OR_REPLACE_CARD,CONFIRM_NEXT_STEP,DEFERRED_TO_NEXT_PHASE
CU014,debit_card_transaction_dispute,cards,debit_card,classify the transaction concern and start the appropriate dispute or EFT-error path,"Member disputes a debit-card purchase amount, duplicate, or merchant transaction.",elevated,reg_e_error_possible,card_dispute_and_reg_e_process,REG_E_ERROR,VERIFY_IDENTITY,START_CARD_DISPUTE,REFER_CARD_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU015,atm_cash_dispense_error,atm,checking,"capture an EFT error involving cash dispensed, cash not received, or an incorrect amount",Member reports an ATM debit with no cash or the wrong cash amount.,elevated,reg_e_error_possible,reg_e_atm_error_process,REG_E_ERROR,VERIFY_IDENTITY,START_EFT_ERROR_INTAKE,REFER_PAYMENTS_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU016,mobile_banking_lockout,digital_access,online_banking,restore access through approved verification and device-security steps,Member cannot access mobile or online banking.,elevated,identity_verification_required,digital_access_and_identity_policy,IDENTITY_THEFT,VERIFY_IDENTITY,RESTORE_DIGITAL_ACCESS,CONFIRM_NEXT_STEP,DEFERRED_TO_NEXT_PHASE
CU017,account_takeover_suspected,fraud,deposit_account,"contain access, preserve evidence, and escalate with high priority","Member reports password, profile, device, or transaction changes they did not make.",high,fraud_review|reg_e_review_if_eft,account_security_and_reg_e_process,IDENTITY_THEFT|REG_E_ERROR|REG_E_LIABILITY,SECURE_ACCOUNT,SECURE_ACCOUNT,REFER_FRAUD_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU018,check_deposit_hold,deposits,checking,"review the deposit, hold notice, availability date, and applicable exception",Member asks why deposited check funds are not yet available.,routine,reg_cc_review,deposit_type_hold_notice_and_exception_policy,REG_CC_GUIDE,VERIFY_IDENTITY,REVIEW_DEPOSIT_HOLD,CONFIRM_NEXT_STEP,DEFERRED_TO_NEXT_PHASE
CU019,check_deposit_returned,deposits,checking,"review the return reason, adjustment, notice, and safe next step",Member's deposited check was returned or reversed.,elevated,reg_cc_review,deposit_return_and_adjustment_policy,REG_CC_GUIDE,VERIFY_IDENTITY,REVIEW_DEPOSIT_RETURN,REFER_PAYMENTS_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU020,overdraft_or_nsf_fee,fees,checking,"identify the fee, related transaction, and applicable institution policy",Member questions an overdraft or nonsufficient-funds fee.,routine,institution_fee_policy_review,account_agreement_and_fee_adjustment_policy,NCUA_CAC,VERIFY_IDENTITY,REVIEW_ACCOUNT_FEES,CONFIRM_NEXT_STEP,DEFERRED_TO_NEXT_PHASE
CU021,bill_pay_payment_missing,bill_pay,checking,trace a scheduled payment and distinguish debit status from payee receipt,Member says a bill-pay item was scheduled or debited but the payee did not receive it.,elevated,reg_e_information_request_possible,bill_pay_rail_status_and_trace_policy,REG_E_ERROR|ACH_BASICS,VERIFY_IDENTITY,TRACE_PAYMENT,REFER_PAYMENTS_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU022,wire_transfer_status_or_recall,wires,deposit_account,verify wire status and route any recall request without promising recovery,Member requests the status of a wire or asks whether a sent wire can be recalled.,elevated,wire_policy_review,wire_status_recall_and_cutoff_policy,NCUA_CAC,VERIFY_IDENTITY,CHECK_TRANSACTION_STATUS,REFER_PAYMENTS_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU023,loan_payment_posting,loans,consumer_loan,"review the loan ledger, payment channel, posting date, and due-date impact","Member says a loan payment is missing, late, duplicated, or posted unexpectedly.",routine,loan_servicing_policy_review,loan_agreement_and_servicing_ledger,NCUA_CAC,VERIFY_IDENTITY,REVIEW_LOAN_ACCOUNT,REFER_LENDING_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU024,loan_payoff_quote,loans,consumer_loan,initiate an official payoff quote for the requested date and delivery method,Member wants the amount and process to pay a loan in full.,routine,loan_servicing_policy_review,loan_agreement_and_payoff_process,NCUA_CAC,VERIFY_IDENTITY,PROVIDE_PAYOFF_QUOTE_PATH,CONFIRM_NEXT_STEP,DEFERRED_TO_NEXT_PHASE
CU025,membership_account_opening_eligibility,membership,membership,apply the credit union's field-of-membership and account-opening criteria,Prospective member asks whether they are eligible to join and open an account.,routine,membership_policy_review,field_of_membership_and_account_opening_policy,NCUA_CAC,CLARIFY_REQUEST,REVIEW_MEMBERSHIP_ELIGIBILITY,CONFIRM_NEXT_STEP,DEFERRED_TO_NEXT_PHASE
