script_id,action_family,response_text,review_status,required_slots,prohibited_claims
CCF-DRAFT-017,REVIEW_LOAN_ACCOUNT,"I'll review the loan ledger, payment channel, posting date, balance, and due-date record before describing the next step.",DRAFT_REVIEW_REQUIRED,authoritative_loan_ledger,STATE_UNVERIFIED_BALANCE|GUARANTEE_FEE_REVERSAL
CCF-DRAFT-018,PROVIDE_PAYOFF_QUOTE_PATH,"I'll initiate the official payoff-quote process for the requested date and approved delivery method.",DRAFT_REVIEW_REQUIRED,payoff_date|approved_delivery_method,STATE_ESTIMATED_AMOUNT_AS_FINAL|GUARANTEE_DELIVERY_TIMING
CCF-DRAFT-019,REVIEW_MEMBERSHIP_ELIGIBILITY,"I'll apply the credit union's current field-of-membership and account-opening criteria to the facts provided.",DRAFT_REVIEW_REQUIRED,current_membership_policy,GUARANTEE_ELIGIBILITY|STATE_UNVERIFIED_POLICY
CCF-DRAFT-020,REFER_CARD_SPECIALIST,"I'll route the case to the designated card-servicing team with the facts and actions already documented.",DRAFT_REVIEW_REQUIRED,card_team_route|case_summary,GUARANTEE_OUTCOME_OR_TIMING
CCF-DRAFT-021,REFER_PAYMENTS_SPECIALIST,"I'll route the case to the appropriate payments team with the transaction details and work already completed.",DRAFT_REVIEW_REQUIRED,payment_rail|payments_team_route,GUARANTEE_OUTCOME_OR_TIMING
CCF-DRAFT-022,REFER_FRAUD_SPECIALIST,"I'll route this to fraud operations with the priority required by the current risk indicators and preserve the case details.",DRAFT_REVIEW_REQUIRED,fraud_team_route|risk_priority,DETERMINE_FRAUD_AS_FACT|PROMISE_CREDIT_OR_REFUND
CCF-DRAFT-023,REFER_LENDING_SPECIALIST,"I'll route the request to lending or loan-servicing operations with the collected facts and current account record.",DRAFT_REVIEW_REQUIRED,lending_team_route|case_summary,GUARANTEE_APPROVAL|GUARANTEE_OUTCOME_OR_TIMING
CCF-DRAFT-024,DOCUMENT_CASE,"I'll document the member's claim, relevant facts, actions taken, and required follow-up without adding unverified conclusions.",DRAFT_REVIEW_REQUIRED,case_facts|actions_taken|follow_up,ADD_UNVERIFIED_CONCLUSION|LOG_SECRET_CREDENTIALS
CCF-DRAFT-025,CONFIRM_NEXT_STEP,"I'll confirm the approved next action, its owner, and only the expectation supported by the governing policy.",DRAFT_REVIEW_REQUIRED,approved_next_action|owner|policy_source,GUARANTEE_OUTCOME_OR_TIMING|STATE_UNVERIFIED_POLICY
CCF-DRAFT-026,CLOSE_INTERACTION,"Before closing, I'll confirm the request, ownership, documented next step, and any approved follow-up information.",DRAFT_REVIEW_REQUIRED,request_summary|owner|approved_follow_up,CLOSE_WITHOUT_OWNERSHIP|GUARANTEE_OUTCOME_OR_TIMING
